Number,Name,Address,Latitude,Longitude
1015,01015 - PLACE ANDRE MALRAUX,2 PLACE ANDRE MALRAUX - 75001 PARIS,48.86397965515107,2.335599603893845
17002,17002 - LA FOURCHE RUE DE LA CONDAMINE,4 RUE DE LA CONDAMINE - 75017 PARIS,48.88790134553051,2.324400445437174
18030,18030 - SIMPLON,1 RUE JOSEPH DIJON - 75018 PARIS,48.89373427753593,2.347517966604574
32605,32605 - HORTENSIAS (LES LILAS),1 ALLEE DES HORTENSIAS - 93260 LES LILAS,48.88217309420464,2.42327263606036
43005,43005 - AUBERT (VINCENNES),18 AVENUE AUBERT - 94300 VINCENNES,48.847550436310826,2.433432607923368
13045,13045 - TOLBIAC ALBERT,FACE 1 RUE JEAN COLLY - 75013 PARIS,48.82783803264948,2.370530563855483
8034,08034 - HAUSSMANN COURCELLES,49 RUE DE BERRI - 75008 PARIS,48.874810390028195,2.308314064189137
2012,02012 - QUATRE SEPTEMBRE,10 RUE DE CHOISEUL - 75002 PARIS,48.869969733968915,2.3360394555421
5029,05029 - PORT ROYAL,FACE 41 AVENUE GEORGES BERNANOS - 75005 PARIS,48.8401089566606,2.337296889737942
17039,17039 - PLACE SAINT FERDINAND,26 RUE SAINT FERDINAND - 75017 PARIS,48.87815529789739,2.288518047864942
15069,15069 - BOUCICAUT FAURE,41 AVENUE FELIX FAURE - 75015 PARIS,48.841249336041045,2.288386600849503
5027,05027 - GOBELINS,22 AVENUE DES GOBELINS - 75005 PARIS,48.83712603861059,2.351433329767636
12017,12017 - ST MANDE NETTER,82 AVENUE SAINT MANDE - 75012 PARIS,48.84463462629767,2.405099826323643
35003,35003 - VAILLANT (PANTIN),ANGLE RUE GENERAL GOSSERAND ET AVENUE EDOUARD VAILLANT - 93500 PANTIN,48.902691617981425,2.393255829334146
20116,20116 - HAIES REUNION,53 RUE DES HAIES - 75020 PARIS,48.85386896766491,2.402426162238911
18011,18011 - HERBERT,85 RUE PAJOL - 75018 PARIS,48.89284571116732,2.363429016279767
13005,13005 - ARAGO CORDELIERE - VERSION 2,2 RUE DES CORDELIERES - 75013 PARIS,48.83548071896613,2.348572461702221
10032,10032 - DODU,N° 12-14 RUE CLAUDE VELLEFAUX- 75010 PARIS,48.87285913900304,2.370071706985146
15037,15037 - GROULT,202 RUE LECOURBE - 75015 PARIS,48.84041618840877,2.295464906515111
21106,21106 - MORICE 2 (CLICHY),2-4 RUE MORICE - 92110 CLICHY,48.90066034942664,2.308569535028556
8055,08055 - TERNES COURCELLES,87 BD COURCELLES - 75008 PARIS,48.87818887641853,2.299296003861458
19111,19111 - ROSA PARKS – GARE RER E,Parvis Nord Gare RER E ROSA PARKS - 75019 PARIS,48.8972395463935,2.37504277378321
15030,15030 - LINOIS,66 RUE EMERIAU - 75015 PARIS,48.84804578628324,2.284380633700994
11020,11020 - CHARONNE,1 RUE DE BELFORT - 75011 PARIS,48.85631717803066,2.383072452374457
8549,08549 - PLACE DUNANT,39 AVENUE GEORGE V - 75008 PARIS,48.87040913507474,2.301123191744092
21501,21501 - SELLIER (SURESNES),RUE DE SAINT CLOUD / BOULEVARD HENRI SELLIER - 92150 SURESNES,48.867565806130166,2.225998484960623
14011,14011 - ALESIA SARRETTE,6 RUE SARRETTE - 75014 PARIS,48.827525292006904,2.331729378994153
8013,08013 - MARIGNAN,24 RUE DE MARIGNAN - 75008 PARIS,48.8696161948985,2.306620834902348
43001,43001 - PARIS 1 (VINCENNES),168 AVENUE DE PARIS - 94300 VINCENNES,48.84633805388875,2.420247340474637
44101,44101 - PLACE MONGOLFIER (SAINT MAURICE),PLACE MONTGOLFIER - 94410 SAINT MAURICE,48.815050006197445,2.459239414806482
1007,01007 - ETIENNE MARCEL,2 RUE DE TURBIGO - 75001 PARIS,48.86356704711952,2.347702021141098
8105,08105 - FRANCOIS 1ER LINCOLN,56 RUE FRANCOIS 1ER - 75008 PARIS,48.86951797934417,2.302426218841562
16042,16042 - PORTE DE SAINT CLOUD,120 BOULEVARD MURAT - 75016 PARIS,48.837555260014625,2.257972572706903
18022,18022 - BARBES MARCADET,57 RUE MARCADET - 75018 PARIS,48.89045112096476,2.349057392968696
21101,21101 - VALITON (CLICHY),4 RUE DE VALITON - 92110 CLICHY,48.90249245151852,2.297840007374352
17004,17004 - LEGENDRE AVENUE DE CLICHY,130 RUE LEGENDRE - 75017 PARIS,48.88896161855884,2.322528975094376
17007,17007 - NAVIER,FACE 57 RUE NAVIER - 75017 PARIS,48.89591411750011,2.322727367054828
17116,17116 - REIMS,6 BOULEVARD DE REIMS - 75017 PARIS,48.891834448210986,2.300144659954865
9104,9104 - CAUMARTIN PROVENCE,52 RUE DE CAUMARTIN - 75009 PARIS,48.8745052459648,2.32847426086664
8008,08008 - ROME SAINT LAZARE,1 RUE JOSEPH SANSBOEUF - 75008 PARIS,48.875353174464706,2.322884365751902
3013,03013 - RUE DE SEVIGNE,36 RUE DE SEVIGNE - 75003 PARIS,48.856954148055344,2.362897420229539
13023,13023 - BOBILLOT VERLAINE,30 RUE BOBILLOT - 75013 PARIS,48.82860289084512,2.353034582951421
20016,20016 - PYRENEES VITRUVE,114 BIS RUE DES PYRENEES - 75020 PARIS,48.85712940035504,2.404425625176959
18005,18005 - TARDIEU,8 RUE TARDIEU - 75018 PARIS,48.88416326647457,2.341879802310627
15107,15107 -  PALAIS DES SPORTS,42 BOULEVARD VICTOR - 75015 PARIS,48.8335736182304,2.28548042091786
15013,15013 - LECOURBE VOLONTAIRE,DEV 1 RUE DES VOLONTAIRES - 75015 PARIS,48.843542735006295,2.306558615574665
33104,33104 - JOINEAU (PRE SAINT GERVAIS),RUE ANDRE JOINEAU / PLACE ANATOLE FRANCE - 93310 LE PRE SAINT GERVAIS,48.883620233843736,2.403240318366616
4009,04009 - VILLAGE SAINT PAUL,6 RUE SAINT PAUL - 75004 PARIS,48.852725972189546,2.360878343431665
9029,09029 - TRINITE,62 RUE SAINT LAZARE - 75009 PARIS,48.87685932729332,2.332762380011633
13022,13022 - BUTTE AUX CAILLES,27 ET 36 RUE DE LA BUTTE AUX CAILLES - 75013 PARIS,48.827564379878744,2.34906350669476
20018,20018 - HARPIGNIES,2 RUE HARPIGNIES- 75020 PARIS,48.85862166935013,2.409942553877677
8002,08002 - GARE SAINT LAZARE - COUR DU HAVRE,Cour du Havre - Face au 2, rue d'Amsterdam - 75008 PARIS,48.87572,2.32668
8047,08047 - GEORGE V,28 AVENUE GEORGE V - 75008 PARIS,48.868165940558264,2.301274609316824
33009,33009 - FELIX (AUBERVILLIERS),120 BOULEVARD FELIX FAURE - 93300 AUBERVILLIERS,48.907885757266726,2.378838474064149
11042,11042 - OBERKAMPF,1 RUE DU GRAND PRIEURE - 75011 PARIS,48.8646494198968,2.369261438255258
15047,15047 - DANTZIG,FACE AU 37 RUE MORILLONS - 75015 PARIS,48.83317977055646,2.299282641599619
13121,13121 - BRUNESEAU - QUAI D'IVRY,5 RUE BRUNESEAU - 75013 PARIS,48.8249528728704,2.38858067885378
7001,07001 - DUROC,63 BOULEVARD DES INVALIDES - 75007 PARIS,48.84776985682885,2.316183886729462
15039,15039 - CHARLES VALLIN,133 RUE DE L'ABBE GROULT - 75015 PARIS,48.836058393856256,2.301865968384287
8057,08057 - HOCHE,62 AVENUE HOCHE - 75008 PARIS,48.87494475810723,2.29743857720451
11109,11109 - REPUBLIQUE PIERRE LEVEE,1 RUE DE LA PIERRE LEVEE - 75011 PARIS,48.866331347902545,2.371097448471508
20019,20019 - MAQUIS DU VERCORS - PORTE DES LILAS,PLACE DU MARQUIS DU VERCORS - 75020 PARIS,48.877336,2.408573
11111,11111 - CHARONNE FROT,31 RUE LEON FROT - 75011 PARIS,48.854963800335234,2.387217085372007
18111,18111 - FELIZ ZIEM,2 RUE FELIX ZIEM - 75018 PARIS,48.88949630486821,2.333393658804396
8026,08026 - MESSINE,2 AVENUE MESSINE - 75008 PARIS,48.87545720024482,2.315465494584916
9002,09002 - MAUBEUGE CONDORCET,19 RUE D'ABBEVILLE - 75009 PARIS,48.879223370628495,2.349147493536092
5022,05022 - CARDINAL LEMOINE,40 RUE BOU LANGERS - 75005 PARIS,48.8462950317216,2.35222292160749
